HAVCR2	-7.86670153375978
MX1	-7.56778318064538
TIFA	-7.12378324737761
KLRC1	-7.06962695959334
KIAA1217	-6.9283454197884
HBEGF	-6.76209236872095
APOBEC3G	-6.71141591821096
SPTY2D1	-6.45144234042621
IL12RB2	-6.42096549844714
SLAMF7	-6.41511678864216
GCH1	-6.3068962137628
RAB7L1	-6.25614503461376
P2RX5	-6.24983687162079
NCF2	-6.18468838915525
IFIT1	-6.16735576442562
MAP3K8	-6.14891945844624
CAST	-5.96765743870886
IGF2R	-5.96070213269065
DPF3	-5.94049670230037
MLLT4	-5.75972213239511
RP11-214O1.2	-5.74852867967265
ITGA6	-5.74764283490267
ENPP2	-5.66370439073223
SLC4A10	-5.6222216511504
CD2	-5.62131210770439
TIMD4	-5.60632414526728
PLEK	-5.55084671854207
GIMAP8	-5.46807794258112
NDRG1	-5.4520684189414
TNFSF10	-5.45066119092094
PDE4B	-5.4246875954378
TBX21	-5.39896462474663
MAP3K5	-5.37941238428123
AGK	-5.37117104967706
TBC1D14	-5.36530503845974
BHLHE40	-5.26413784047054
N4BP1	-5.14308986503617
RSAD2	-5.09469790119261
PLSCR1	-5.04681746282528
FUT8	-5.04469385218901
IRAK2	-5.02854357903549
MALT1	-5.01988764499478
TANK	-4.99661709035568
DPP4	-4.91248597483003
RASGRF2	-4.8985111588291
SLC35D1	-4.88948061147072
STOM	-4.83123335107952
RAP1B	-4.81013297664435
CYTIP	-4.7678492445504
GIMAP7	-4.74417298722052
OAS1	-4.74071092848752
EML4	-4.72588253546834
IFIH1	-4.66319382523068
C6orf106	-4.64978968799895
SLA	-4.62344838641769
LMO4	-4.61651843222077
VOPP1	-4.57679946621152
KLF3	-4.54918905779927
GPBP1	-4.54222830732431
STYK1	-4.52259656743999
MYO1B	-4.48283561607814
RASA2	-4.46632024720907
CCR3	-4.46474992382541
DGKI	-4.42657003648545
TMEM64	-4.40585822788522
TRIB1	-4.40048314485702
GIMAP5	-4.399453633865
PLAUR	-4.36733247781538
CD55	-4.36200246422189
HS3ST3B1	-4.35216112329836
MIR503HG	-4.35159265807023
ATP2B4	-4.34474435467404
LEPR	-4.33149949443399
GLRX	-4.31643843714609
IRF2	-4.31199235305475
CMAHP	-4.30284036993799
PIM1	-4.27273891899345
LONRF1	-4.2504808110825
RP11-445P17.8	-4.22803620369355
ANTXR2	-4.19958044165178
IGHV1OR15-3	-4.17945826232091
HPGD	-4.16771742872437
DOCK5	-4.16269782645662
MKNK2	-4.15299071157569
NFE2L3	-4.12038620512566
IPCEF1	-4.09817772389916
OAS2	-4.07998351234941
FASLG	-4.06112504040964
EGLN1	-4.05517627611196
HERC5	-4.03064357145922
